Time,Sequence Number,Event
4.408,206000,transmit
4.416,188000,ack
4.416,207000,send
4.416,207000,transmit
4.424,189000,ack
4.424,208000,send
4.424,208000,transmit
4.432,190000,ack
4.432,209000,send
4.432,209000,transmit
4.44,191000,ack
4.44,210000,send
4.44,210000,transmit
4.448,192000,ack
4.448,211000,send
4.448,211000,transmit
4.456,193000,ack
4.456,212000,send
4.456,212000,transmit
4.464,194000,ack
4.464,213000,send
4.464,213000,transmit
4.472,195000,ack
4.472,214000,send
4.472,214000,transmit
4.48,196000,ack
4.48,215000,send
4.48,215000,transmit
4.488,197000,ack
4.488,216000,send
4.488,216000,transmit
4.496,198000,ack
4.496,217000,send
4.496,217000,transmit
4.504,199000,ack
4.504,218000,send
4.504,218000,transmit
4.512,200000,ack
4.512,219000,send
4.512,219000,transmit
4.52,201000,ack
4.52,220000,send
4.52,220000,transmit
4.528,202000,ack
4.528,221000,send
4.528,222000,send
4.528,221000,transmit
4.536,222000,transmit
4.592,203000,ack
4.592,223000,send
4.592,223000,transmit
4.6,204000,ack
4.6,224000,send
4.6,224000,transmit
4.608,205000,ack
4.608,225000,send
4.608,225000,transmit
4.616,206000,ack
4.616,226000,send
4.616,226000,transmit
4.624,207000,ack
4.624,227000,send
4.624,227000,transmit
4.632,208000,ack
4.632,228000,send
4.632,228000,transmit
4.64,209000,ack
4.64,229000,send
4.64,229000,transmit
4.648,210000,ack
4.648,230000,send
4.648,230000,transmit
4.656,211000,ack
4.656,231000,send
4.656,231000,transmit
4.664,212000,ack
4.664,232000,send
4.664,232000,transmit
4.672,213000,ack
4.672,233000,send
4.672,233000,transmit
4.68,214000,ack
4.68,234000,send
4.68,234000,transmit
4.688,215000,ack
4.688,235000,send
4.688,235000,transmit
4.696,216000,ack
4.696,236000,send
4.696,236000,transmit
4.704,217000,ack
4.704,237000,send
4.704,237000,transmit
4.712,218000,ack
4.712,238000,send
4.712,238000,transmit
4.72,219000,ack
4.72,239000,send
4.72,239000,transmit
4.728,220000,ack
4.728,240000,send
4.728,240000,transmit
4.736,221000,ack
4.736,241000,send
4.736,241000,transmit
4.744,222000,ack
4.744,242000,send
4.744,243000,send
4.744,242000,transmit
4.752,243000,transmit
4.8,223000,ack
4.8,244000,send
4.8,244000,transmit
4.808,224000,ack
4.808,245000,send
4.808,245000,transmit
4.816,225000,ack
4.816,246000,send
4.816,246000,transmit
4.824,226000,ack
4.824,247000,send
4.824,247000,transmit
4.832,227000,ack
4.832,248000,send
4.832,248000,transmit
4.84,228000,ack
